Accession,Release_Date,Pangolin,Isolate,Species,Length,Protein,Geo_Location,USA,Host,Isolation_Source,Collection_Date
QSF12572,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-6656,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-09
QSF12584,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-7216,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-11
QSF12596,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-7175,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-11
QSF12608,2021-03-01T00:00:00Z,B.1.1.1,hCov-19-Israel-CVL-n-5939,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-15
QSF12620,2021-03-01T00:00:00Z,B.1.504,hCov-19-Israel-CVL-n-11470,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-25
QSF12632,2021-03-01T00:00:00Z,B.1.504,hCov-19-Israel-CVL-n-11482,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-25
QSF12644,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-13881,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-25
QSF12656,2021-03-01T00:00:00Z,B.11,hCov-19-Israel-CVL-n-6100,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-15
QSF12668,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-9331,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-19
QSF12680,2021-03-01T00:00:00Z,B.1.1.409,hCov-19-Israel-CVL-n-6744,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-09
QSF12692,2021-03-01T00:00:00Z,B.1.504,hCov-19-Israel-CVL-n-9560,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-19
